SSN Areacode,Location
0,New Hampshire
1,New Hampshire
2,New Hampshire
3,New Hampshire
4,Maine
5,Maine
6,Maine
7,Maine
8,Vermont
9,Vermont
10,Massachusetts
11,Massachusetts
12,Massachusetts
13,Massachusetts
14,Massachusetts
15,Massachusetts
16,Massachusetts
17,Massachusetts
18,Massachusetts
19,Massachusetts
20,Massachusetts
21,Massachusetts
22,Massachusetts
23,Massachusetts
24,Massachusetts
25,Massachusetts
26,Massachusetts
27,Massachusetts
28,Massachusetts
29,Massachusetts
30,Massachusetts
31,Massachusetts
32,Massachusetts
33,Massachusetts
34,Massachusetts
35,Rhode Island
36,Rhode Island
37,Rhode Island
38,Rhode Island
39,Rhode Island
40,Connecticut
41,Connecticut
42,Connecticut
43,Connecticut
44,Connecticut
45,Connecticut
46,Connecticut
47,Connecticut
48,Connecticut
49,Connecticut
50,New York
51,New York
52,New York
53,New York
54,New York
55,New York
56,New York
57,New York
58,New York
59,New York
60,New York
61,New York
62,New York
63,New York
64,New York
65,New York
66,New York
67,New York
68,New York
69,New York
70,New York
71,New York
72,New York
73,New York
74,New York
75,New York
76,New York
77,New York
78,New York
79,New York
80,New York
81,New York
82,New York
83,New York
84,New York
85,New York
86,New York
87,New York
88,New York
89,New York
90,New York
91,New York
92,New York
93,New York
94,New York
95,New York
96,New York
97,New York
98,New York
99,New York
100,New York
101,New York
102,New York
103,New York
104,New York
105,New York
106,New York
107,New York
108,New York
109,New York
110,New York
111,New York
112,New York
113,New York
114,New York
115,New York
116,New York
117,New York
118,New York
119,New York
120,New York
121,New York
122,New York
123,New York
124,New York
125,New York
126,New York
127,New York
128,New York
129,New York
130,New York
131,New York
132,New York
133,New York
134,New York
135,New Jersey
136,New Jersey
137,New Jersey
138,New Jersey
139,New Jersey
140,New Jersey
141,New Jersey
142,New Jersey
143,New Jersey
144,New Jersey
145,New Jersey
146,New Jersey
147,New Jersey
148,New Jersey
149,New Jersey
150,New Jersey
151,New Jersey
152,New Jersey
153,New Jersey
154,New Jersey
155,New Jersey
156,New Jersey
157,New Jersey
158,New Jersey
159,Pennsylvania
160,Pennsylvania
161,Pennsylvania
162,Pennsylvania
163,Pennsylvania
164,Pennsylvania
165,Pennsylvania
166,Pennsylvania
167,Pennsylvania
168,Pennsylvania
169,Pennsylvania
170,Pennsylvania
171,Pennsylvania
172,Pennsylvania
173,Pennsylvania
174,Pennsylvania
175,Pennsylvania
176,Pennsylvania
177,Pennsylvania
178,Pennsylvania
179,Pennsylvania
180,Pennsylvania
181,Pennsylvania
182,Pennsylvania
183,Pennsylvania
184,Pennsylvania
185,Pennsylvania
186,Pennsylvania
187,Pennsylvania
188,Pennsylvania
189,Pennsylvania
190,Pennsylvania
191,Pennsylvania
192,Pennsylvania
193,Pennsylvania
194,Pennsylvania
195,Pennsylvania
196,Pennsylvania
197,Pennsylvania
198,Pennsylvania
199,Pennsylvania
200,Pennsylvania
201,Pennsylvania
202,Pennsylvania
203,Pennsylvania
204,Pennsylvania
205,Pennsylvania
206,Pennsylvania
207,Pennsylvania
208,Pennsylvania
209,Pennsylvania
210,Pennsylvania
211,Pennsylvania
212,Maryland
213,Maryland
214,Maryland
215,Maryland
216,Maryland
217,Maryland
218,Maryland
219,Maryland
220,Maryland
221,Delaware
222,Delaware
223,Virginia
224,Virginia
225,Virginia
226,Virginia
227,Virginia
228,Virginia
229,Virginia
230,Virginia
231,Virginia
232,West Virginia
233,West Virginia
234,West Virginia
235,West Virginia
236,West Virginia
237,North Carolina
238,North Carolina
239,North Carolina
240,North Carolina
241,North Carolina
242,North Carolina
243,North Carolina
244,North Carolina
245,North Carolina
246,North Carolina
247,South Carolina
248,South Carolina
249,South Carolina
250,South Carolina
251,South Carolina
252,Georgia
253,Georgia
254,Georgia
255,Georgia
256,Georgia
257,Georgia
258,Georgia
259,Georgia
260,Georgia
261,Florida
262,Florida
263,Florida
264,Florida
265,Florida
266,Florida
267,Florida
268,Ohio
269,Ohio
270,Ohio
271,Ohio
272,Ohio
273,Ohio
274,Ohio
275,Ohio
276,Ohio
277,Ohio
278,Ohio
279,Ohio
280,Ohio
281,Ohio
282,Ohio
283,Ohio
284,Ohio
285,Ohio
286,Ohio
287,Ohio
288,Ohio
289,Ohio
290,Ohio
291,Ohio
292,Ohio
293,Ohio
294,Ohio
295,Ohio
296,Ohio
297,Ohio
298,Ohio
299,Ohio
300,Ohio
301,Ohio
302,Ohio
303,Indiana
304,Indiana
305,Indiana
306,Indiana
307,Indiana
308,Indiana
309,Indiana
310,Indiana
311,Indiana
312,Indiana
313,Indiana
314,Indiana
315,Indiana
316,Indiana
317,Indiana
318,Illinois
319,Illinois
320,Illinois
321,Illinois
322,Illinois
323,Illinois
324,Illinois
325,Illinois
326,Illinois
327,Illinois
328,Illinois
329,Illinois
330,Illinois
331,Illinois
332,Illinois
333,Illinois
334,Illinois
335,Illinois
336,Illinois
337,Illinois
338,Illinois
339,Illinois
340,Illinois
341,Illinois
342,Illinois
343,Illinois
344,Illinois
345,Illinois
346,Illinois
347,Illinois
348,Illinois
349,Illinois
350,Illinois
351,Illinois
352,Illinois
353,Illinois
354,Illinois
355,Illinois
356,Illinois
357,Illinois
358,Illinois
359,Illinois
360,Illinois
361,Illinois
362,Michigan
363,Michigan
364,Michigan
365,Michigan
366,Michigan
367,Michigan
368,Michigan
369,Michigan
370,Michigan
371,Michigan
372,Michigan
373,Michigan
374,Michigan
375,Michigan
376,Michigan
377,Michigan
378,Michigan
379,Michigan
380,Michigan
381,Michigan
382,Michigan
383,Michigan
384,Michigan
385,Michigan
386,Michigan
387,Wisconsin
388,Wisconsin
389,Wisconsin
390,Wisconsin
391,Wisconsin
392,Wisconsin
393,Wisconsin
394,Wisconsin
395,Wisconsin
396,Wisconsin
397,Wisconsin
398,Wisconsin
399,Wisconsin
400,Kentucky
401,Kentucky
402,Kentucky
403,Kentucky
404,Kentucky
405,Kentucky
406,Kentucky
407,Kentucky
408,Tennessee
409,Tennessee
410,Tennessee
411,Tennessee
412,Tennessee
413,Tennessee
414,Tennessee
415,Tennessee
416,Alabama
417,Alabama
418,Alabama
419,Alabama
420,Alabama
421,Alabama
422,Alabama
423,Alabama
424,Alabama
425,Mississippi
426,Mississippi
427,Mississippi
428,Mississippi
429,Arkansas
430,Arkansas
