Letter,Morse Code,NATO,Tap
A,sl,alfa,11
B,lsss,bravo,12
C,lsls,charlie,13
D,lss,delta,14
E,s,echo,15
F,ssls,foxtrot,21
G,lls,golf,22
H,ssss,hotel,23
I,ss,india,24
J,slll,juliett,25
K,lsl,kilo,13
L,slss,lima,31
M,ll,mike,32
N,ls,november,33
O,lll,oscar,34
P,slls,papa,35
Q,llsl,quebec,41
R,sls,romeo,42
S,sss,sierra,43
T,l,tango,44
U,ssl,uniform,45
V,sssl,victor,51
W,sll,whiskey,52
X,lssl,xray,53
Y,lsll,yankee,54
Z,llss,zulu,55
1,sllll,one,
2,sslll,two,
3,sssll,three,
4,ssssl,four,
5,sssss,five,
6,lssss,six,
7,llsss,seven,
8,lllss,eight,
9,lllls,nine,
0,llll,zero,
